Date,Time,Precipitation_AddisAbeba (mm),Relative Humidity_AddisAbeba (% RH),Temperature_AddisAbeba (?C)
12/29/2011,2:30:00 PM,0,26.8,20.9
12/29/2011,2:45:00 PM,0,25.7,20.8
12/29/2011,3:00:00 PM,0,25,20.6
12/29/2011,3:15:00 PM,0,26.2,20.5
12/29/2011,3:30:00 PM,0,27.9,20.1
12/29/2011,3:45:00 PM,0,28.6,19.7
12/29/2011,4:00:00 PM,0,27.8,19.9
12/29/2011,4:15:00 PM,0,27.5,19.7
12/29/2011,4:30:00 PM,0,27.8,19.4
12/29/2011,4:45:00 PM,0,28.5,19
12/29/2011,5:00:00 PM,0,28.1,18.6
12/29/2011,5:15:00 PM,0,27.8,18.2
12/29/2011,5:30:00 PM,0,29.3,17.5
12/29/2011,5:45:00 PM,0,29,17
12/29/2011,6:00:00 PM,0,29.6,16.5
12/29/2011,6:15:00 PM,0,33.3,15.9
12/29/2011,6:30:00 PM,0,34.7,15.4
12/29/2011,6:45:00 PM,0,37.4,14.8
12/29/2011,7:00:00 PM,0,39.4,14.1
12/29/2011,7:15:00 PM,0,40.5,13.6
12/29/2011,7:30:00 PM,0,41.7,13.3
12/29/2011,7:45:00 PM,0,43.4,13.3
12/29/2011,8:00:00 PM,0,45.3,13
12/29/2011,8:15:00 PM,0,46.3,12.8
12/29/2011,8:30:00 PM,0,47.1,12.6
12/29/2011,8:45:00 PM,0,48.6,12.4
12/29/2011,9:00:00 PM,0,50.3,12.2
12/29/2011,9:15:00 PM,0,51.6,12
12/29/2011,9:30:00 PM,0,53.2,11.8
12/29/2011,9:45:00 PM,0,54.7,11.6
12/29/2011,10:00:00 PM,0,54.9,11.6
12/29/2011,10:15:00 PM,0,55.6,11.4
12/29/2011,10:30:00 PM,0,56.6,11
12/29/2011,10:45:00 PM,0,56.6,10.9
12/29/2011,11:00:00 PM,0,57.1,10.8
12/29/2011,11:15:00 PM,0,57.9,10.6
12/29/2011,11:30:00 PM,0,58.9,10.5
12/29/2011,11:45:00 PM,0,59.7,10.4
12/30/2011,12:00:00 AM,0,60.6,10.1
12/30/2011,12:15:00 AM,0,62.3,9.6
12/30/2011,12:30:00 AM,0,63.2,9.5
12/30/2011,12:45:00 AM,0,61.6,9.9
12/30/2011,1:00:00 AM,0,62,9.9
12/30/2011,1:15:00 AM,0,62.9,9.7
12/30/2011,1:30:00 AM,0,65.9,8.8
12/30/2011,1:45:00 AM,0,69.4,8.1
12/30/2011,2:00:00 AM,0,72.4,7.3
12/30/2011,2:15:00 AM,0,72.7,7.1
12/30/2011,2:30:00 AM,0,71.6,7.2
12/30/2011,2:45:00 AM,0,72.6,6.7
12/30/2011,3:00:00 AM,0,78.8,5.3
12/30/2011,3:15:00 AM,0,81.5,5
12/30/2011,3:30:00 AM,0,81.5,5.1
12/30/2011,3:45:00 AM,0,83.1,4.7
12/30/2011,4:00:00 AM,0,84.9,4.2
12/30/2011,4:15:00 AM,0,85.8,4
12/30/2011,4:30:00 AM,0,86.1,4.3
12/30/2011,4:45:00 AM,0,83.4,4.8
