Date,Time,Precipitation_Jinka (mm),Relative Humidity_Jinka (% RH),Temperature_Jinka (?C)
2/26/2014,8:00:00 PM,0,43.7,19.7
2/26/2014,8:15:00 PM,0,44.5,19.5
2/26/2014,8:30:00 PM,0,45.5,19.2
2/26/2014,8:45:00 PM,0,46.7,19
2/26/2014,9:00:00 PM,0,47.1,18.9
2/26/2014,9:15:00 PM,0,48.3,18.6
2/26/2014,9:30:00 PM,0,49.9,18.3
2/26/2014,9:45:00 PM,0,50.5,18.2
2/26/2014,10:00:00 PM,0,51.7,17.9
2/26/2014,10:15:00 PM,0,52.9,17.6
2/26/2014,10:30:00 PM,0,54.2,17.5
2/26/2014,10:45:00 PM,0,55.5,17.3
2/26/2014,11:00:00 PM,0,58,17
2/26/2014,11:15:00 PM,0,59.6,16.7
2/26/2014,11:30:00 PM,0,60.9,16.7
2/26/2014,11:45:00 PM,0,61.9,16.6
2/27/2014,12:00:00 AM,0,63.2,16.4
2/27/2014,12:15:00 AM,0,64.5,16.2
2/27/2014,12:30:00 AM,0,64,16.2
2/27/2014,12:45:00 AM,0,64.7,15.7
2/27/2014,1:00:00 AM,0,65.8,15.5
2/27/2014,1:15:00 AM,0,66.6,15.3
2/27/2014,1:30:00 AM,0,65.8,15.1
2/27/2014,1:45:00 AM,0,62.9,15.2
2/27/2014,2:00:00 AM,0,63.3,15.1
2/27/2014,2:15:00 AM,0,63.1,15.2
2/27/2014,2:30:00 AM,0,64.2,15
2/27/2014,2:45:00 AM,0,64.4,15
2/27/2014,3:00:00 AM,0,64.8,15
2/27/2014,3:15:00 AM,0,65.4,14.5
2/27/2014,3:30:00 AM,0,66,14.1
2/27/2014,3:45:00 AM,0,67.4,13.8
2/27/2014,4:00:00 AM,0,70.3,13.4
2/27/2014,4:15:00 AM,0,71.4,13.3
2/27/2014,4:30:00 AM,0,71.6,13.3
2/27/2014,4:45:00 AM,0,71.8,13.5
2/27/2014,5:00:00 AM,0,72.4,13.4
2/27/2014,5:15:00 AM,0,73.6,13.1
2/27/2014,5:30:00 AM,0,75,12.8
2/27/2014,5:45:00 AM,0,75.5,12.8
2/27/2014,6:00:00 AM,0,75.4,12.8
2/27/2014,6:15:00 AM,0,76.8,12.5
2/27/2014,6:30:00 AM,0,76.7,12.6
2/27/2014,6:45:00 AM,0,75.4,12.9
2/27/2014,7:00:00 AM,0,72.6,13.7
2/27/2014,7:15:00 AM,0,71.7,14
2/27/2014,7:30:00 AM,0,70,14.5
2/27/2014,7:45:00 AM,0,65.2,15.6
2/27/2014,8:00:00 AM,0,63.2,16.2
2/27/2014,8:15:00 AM,0,62.1,16.6
2/27/2014,8:30:00 AM,0,62.4,17
2/27/2014,8:45:00 AM,0,59.3,18.2
2/27/2014,9:00:00 AM,0,57.7,18.7
2/27/2014,9:15:00 AM,0,56.1,19.2
2/27/2014,9:30:00 AM,0,54.4,19.2
2/27/2014,9:45:00 AM,0,46.7,20
2/27/2014,10:00:00 AM,0,44.1,20.4
2/27/2014,10:15:00 AM,0,43.6,20.8
2/27/2014,10:30:00 AM,0,42.5,20.8
2/27/2014,10:45:00 AM,0,41.4,21.2
2/27/2014,11:00:00 AM,0,39.3,21.6
2/27/2014,11:15:00 AM,0,40.4,21.1
2/27/2014,11:30:00 AM,0,40.3,21.2
2/27/2014,11:45:00 AM,0,39.6,21.6
2/27/2014,12:00:00 PM,0,38.1,21.7
2/27/2014,12:15:00 PM,0,38.7,21.5
2/27/2014,12:30:00 PM,0,37.3,22.2
2/27/2014,12:45:00 PM,0,36.3,22.1
2/27/2014,1:00:00 PM,0,36.1,22.5
2/27/2014,1:15:00 PM,0,35.3,22.3
2/27/2014,1:30:00 PM,0,34.4,22.5
2/27/2014,1:45:00 PM,0,32.1,23.2
2/27/2014,2:00:00 PM,0,31.6,23.2
2/27/2014,2:15:00 PM,0,31.7,23.2
2/27/2014,2:30:00 PM,0,30.2,23.6
2/27/2014,2:45:00 PM,0,29.3,23.9
2/27/2014,3:00:00 PM,0,27.2,23.8
2/27/2014,3:15:00 PM,0,26.8,23.7
2/27/2014,3:30:00 PM,0,25.7,23.6
2/27/2014,3:45:00 PM,0,25.6,23.6
2/27/2014,4:00:00 PM,0,25.5,23.5
2/27/2014,4:15:00 PM,0,27.5,23.3
2/27/2014,4:30:00 PM,0,27.3,23.2
2/27/2014,4:45:00 PM,0,28,23.2
2/27/2014,5:00:00 PM,0,24.4,23.1
2/27/2014,5:15:00 PM,0,24.8,23
2/27/2014,5:30:00 PM,0,27.8,22.9
2/27/2014,5:45:00 PM,0,25.5,22.6
2/27/2014,6:00:00 PM,0,21.8,22.5
2/27/2014,6:15:00 PM,0,20.6,22.1
2/27/2014,6:30:00 PM,0,17.6,21.7
2/27/2014,6:45:00 PM,0,18.1,21.2
2/27/2014,7:00:00 PM,0,21.5,20.7
2/27/2014,7:15:00 PM,0,25.2,20.4
2/27/2014,7:30:00 PM,0,27.6,20.1
2/27/2014,7:45:00 PM,0,30.1,19.8
2/27/2014,8:00:00 PM,0,32.1,19.6
2/27/2014,8:15:00 PM,0,33.2,19.3
2/27/2014,8:30:00 PM,0,33.9,19.1
